report_month,dept_name,ward_code,service,budget_allocated,actual_spend,revenue_collected,outstanding_debt,payment_rate,data_source
31-01-2023,WASTE MANAGEMENT,Ward-30,Water,25687396,23941677,21859358,4430484,56.1,FIN_SYS_B
31-01-2023,roads & transport,Ward-1,Refuse,24307994,18960255,7930573,2316551,82.6,FIN_SYS_B
31-01-2023,roads & transport,Ward-2,Rates,22119924,15044768,10506489,1777939,57.9,FIN_SYS_A
31-01-2023,roads & transport,Ward-3,Rates,17671711,13300170,4678120,6030079,63.7,FIN_SYS_B
31-01-2023,roads & transport,Ward-4,Electricity,10407961,12967764,7614230,1596201,88.7,FIN_SYS_B
31-01-2023,roads & transport,Ward-5,Water,10329030,22105521,12541806,8940896,62.0,FIN_SYS_A
31-01-2023,ROADS & TRANSPORT,Ward-6,Refuse,10734075,23767779,19238266,1236763,65.4,MANUAL_UPLOAD
31-01-2023,ROADS & TRANSPORT,Ward-7,Water,20242641,20185709,17860982,4794364,82.7,MANUAL_UPLOAD
31-01-2023,ROADS & TRANSPORT,Ward-8,Electricity,6946294,6020690,18320599,7880174,79.9,FIN_SYS_B
31-01-2023,ROADS & TRANSPORT,Ward-9,Refuse,20320144,18793152,15326741,8485784,62.6,FIN_SYS_B
31-01-2023,ROADS & TRANSPORT,Ward-10,Refuse,23215118,4794218,14294777,1499042,79.0,FIN_SYS_B
31-01-2023,ROADS & TRANSPORT,Ward-11,Water,25633055,15910699,18402433,1210930,61.1,MANUAL_UPLOAD
31-01-2023,ROADS & TRANSPORT,Ward-12,Electricity,14358222,12213305,19420186,7690062,92.9,FIN_SYS_B
31-01-2023,roads & transport,Ward-13,Electricity,14070136,27464648,2507768,6817977,55.2,MANUAL_UPLOAD
31-01-2023,roads & transport,Ward-14,Electricity,25003523,10693199,3168906,7626794,66.7,FIN_SYS_A
31-01-2023,ROADS & TRANSPORT,Ward-15,Electricity,5148991,19920136,13863294,690123,97.9,FIN_SYS_A
31-01-2023,ROADS & TRANSPORT,Ward-16,Water,14518366,7986832,16249861,8788746,51.1,FIN_SYS_A
31-01-2023,roads & transport,Ward-17,Electricity,11292652,27957922,19975920,1398437,70.4,FIN_SYS_A
31-01-2023,ROADS & TRANSPORT,Ward-18,Electricity,23019859,20837032,18800853,1815218,93.1,MANUAL_UPLOAD
31-01-2023,roads & transport,Ward-19,Rates,7098365,7530167,22471798,1444519,72.5,FIN_SYS_B
31-01-2023,ROADS & TRANSPORT,Ward-20,Water,17437424,25515339,13944147,5491368,80.9,FIN_SYS_A
31-01-2023,ROADS & TRANSPORT,Ward-21,Water,9238970,19536637,22492953,843196,89.7,FIN_SYS_B
31-01-2023,ROADS & TRANSPORT,Ward-22,Refuse,9900406,24972569,20416425,7598902,88.5,FIN_SYS_A
31-01-2023,roads & transport,Ward-23,Rates,21565935,21723962,16623614,6769273,66.6,MANUAL_UPLOAD
31-01-2023,ROADS & TRANSPORT,Ward-24,Water,23589052,19073828,7939471,6463629,51.7,FIN_SYS_B
31-01-2023,roads & transport,Ward-25,Rates,8426165,9046588,21734577,5009268,82.7,MANUAL_UPLOAD
31-01-2023,ROADS & TRANSPORT,Ward-26,Refuse,18230375,28281622,21983117,2624888,65.8,MANUAL_UPLOAD
31-01-2023,ROADS & TRANSPORT,Ward-27,Rates,12071320,16049028,18741167,5559758,91.8,MANUAL_UPLOAD
31-01-2023,roads & transport,Ward-28,Refuse,20108228,21383696,5668042,2956008,78.0,MANUAL_UPLOAD
31-01-2023,roads & transport,Ward-29,Electricity,17342054,24261344,3101479,3087710,75.4,FIN_SYS_A
31-01-2023,ROADS & TRANSPORT,Ward-30,Water,25380560,24844406,20987572,4225153,93.4,MANUAL_UPLOAD
31-01-2023,housing,Ward-1,Refuse,23196793,10676117,8937947,5448398,68.7,MANUAL_UPLOAD
31-01-2023,HOUSING,Ward-2,Rates,5938813,10512154,15483486,7076917,53.3,MANUAL_UPLOAD
31-01-2023,HOUSING,Ward-3,Rates,8322454,10883787,6178787,8322510,91.5,FIN_SYS_A
31-01-2023,HOUSING,Ward-4,Water,5723588,14267422,16000784,4065408,92.9,FIN_SYS_B
31-01-2023,housing,Ward-5,Water,18265037,13141397,11998328,6069075,73.1,FIN_SYS_A
31-01-2023,housing,Ward-6,Electricity,12901942,12232422,21160367,2639324,67.7,FIN_SYS_B
31-01-2023,HOUSING,Ward-7,Rates,6943049,25897064,5681766,4753844,74.9,FIN_SYS_A
31-01-2023,HOUSING,Ward-8,Water,25228003,19460821,8410373,4748481,88.3,FIN_SYS_B
31-01-2023,housing,Ward-9,Rates,15237968,9437479,17349040,5103129,95.8,FIN_SYS_B
31-01-2023,housing,Ward-10,Electricity,12825505,23934342,9335267,4930922,58.8,FIN_SYS_B
31-01-2023,HOUSING,Ward-11,Rates,25871558,14218678,20706653,3668315,55.7,MANUAL_UPLOAD
31-01-2023,housing,Ward-12,Water,9822936,9354829,12025742,3326433,89.3,MANUAL_UPLOAD
31-01-2023,HOUSING,Ward-13,Refuse,10576499,17078172,4575508,3383091,61.6,MANUAL_UPLOAD
31-01-2023,HOUSING,Ward-14,Refuse,17711701,17275913,21890969,8473857,66.7,MANUAL_UPLOAD
31-01-2023,housing,Ward-15,Water,19639976,11668861,13304668,6188981,98.2,FIN_SYS_A
31-01-2023,HOUSING,Ward-16,Refuse,14915646,24878641,12959325,532308,53.2,MANUAL_UPLOAD
31-01-2023,housing,Ward-17,Electricity,20838432,12341031,21807120,568624,51.4,MANUAL_UPLOAD
31-01-2023,HOUSING,Ward-18,Water,7567398,7833509,20504326,3555687,65.3,FIN_SYS_B
31-01-2023,housing,Ward-19,Rates,19968363,14026264,6306430,4834202,81.6,FIN_SYS_B
31-01-2023,housing,Ward-20,Refuse,14116629,13069889,6396513,5765593,72.2,MANUAL_UPLOAD
31-01-2023,housing,Ward-21,Refuse,6357691,5936016,10073462,4029256,97.6,FIN_SYS_B
31-01-2023,housing,Ward-22,Electricity,25556496,10044912,9999738,1642994,86.8,MANUAL_UPLOAD
31-01-2023,HOUSING,Ward-23,Electricity,21212158,20439256,14479429,5458856,95.0,FIN_SYS_B
31-01-2023,housing,Ward-24,Electricity,8826062,6816934,8996660,4410026,72.1,MANUAL_UPLOAD
31-01-2023,HOUSING,Ward-25,Electricity,6771019,12751285,22779679,8755451,79.3,FIN_SYS_A
31-01-2023,HOUSING,Ward-26,Rates,16969149,11508643,16176665,5030390,98.2,FIN_SYS_B
31-01-2023,HOUSING,Ward-27,Water,7083723,23270829,7151711,5367946,77.1,FIN_SYS_A
31-01-2023,HOUSING,Ward-28,Refuse,13616727,21546134,21914392,5494708,72.4,MANUAL_UPLOAD
31-01-2023,housing,Ward-29,Rates,20662365,29354363,19349208,7388928,64.7,FIN_SYS_A
31-01-2023,HOUSING,Ward-30,Water,15588477,28060618,22144123,5944209,73.3,MANUAL_UPLOAD
31-01-2023,administration,Ward-1,Electricity,20329158,24620675,3347102,2353442,64.5,FIN_SYS_B
31-01-2023,ADMINISTRATION,Ward-2,Water,6065397,21108129,2692823,4344549,65.9,MANUAL_UPLOAD
31-01-2023,ADMINISTRATION,Ward-3,Electricity,21492395,21649725,2728161,8591860,92.3,FIN_SYS_A
31-01-2023,ADMINISTRATION,Ward-4,Refuse,17597679,22451632,20095780,6668903,57.0,FIN_SYS_B
31-01-2023,ADMINISTRATION,Ward-5,Water,7164331,22575486,20730712,8343421,83.6,FIN_SYS_B
31-01-2023,ADMINISTRATION,Ward-6,Rates,11480977,24839001,11397706,4391926,87.9,MANUAL_UPLOAD
31-01-2023,ADMINISTRATION,Ward-7,Refuse,8794911,7818802,19787356,8175005,53.2,FIN_SYS_B
31-01-2023,administration,Ward-8,Water,8025279,19885865,8426014,6814940,62.7,FIN_SYS_A
31-01-2023,ADMINISTRATION,Ward-9,Water,20569561,28973489,8275290,6150249,50.2,MANUAL_UPLOAD
31-01-2023,ADMINISTRATION,Ward-10,Refuse,6771580,8256681,4106319,6803260,52.7,FIN_SYS_A
31-01-2023,administration,Ward-11,Electricity,19022810,16595049,20330097,3838002,64.1,FIN_SYS_A
31-01-2023,ADMINISTRATION,Ward-12,Electricity,4964640,28891385,20021048,5574978,97.7,MANUAL_UPLOAD
31-01-2023,ADMINISTRATION,Ward-13,Water,5667683,11492972,9598349,8622138,58.0,FIN_SYS_B
31-01-2023,ADMINISTRATION,Ward-14,Rates,9223517,10213249,10959189,4027849,89.7,FIN_SYS_A
31-01-2023,administration,Ward-15,Refuse,11734633,12043511,22606615,1869451,92.2,MANUAL_UPLOAD
31-01-2023,ADMINISTRATION,Ward-16,Rates,23370331,12582026,5342495,5134232,63.4,FIN_SYS_A
31-01-2023,administration,Ward-17,Rates,16428118,16562272,18186855,4816470,58.4,MANUAL_UPLOAD
31-01-2023,administration,Ward-18,Electricity,17747707,12405808,17402513,5476221,58.1,MANUAL_UPLOAD
31-01-2023,administration,Ward-19,Rates,14970213,21272440,18766218,8271491,84.0,MANUAL_UPLOAD
31-01-2023,ADMINISTRATION,Ward-20,Rates,20614820,13474075,4209981,8334224,75.7,FIN_SYS_B
31-01-2023,ADMINISTRATION,Ward-21,Electricity,4907326,19864773,3875246,6210822,97.2,MANUAL_UPLOAD
31-01-2023,ADMINISTRATION,Ward-22,Electricity,4735194,27176255,3403258,8950712,97.6,MANUAL_UPLOAD
31-01-2023,administration,Ward-23,Electricity,25057777,26186227,4276545,5624720,94.6,FIN_SYS_A
31-01-2023,ADMINISTRATION,Ward-24,Electricity,18223129,12987766,4167566,3716858,54.3,FIN_SYS_A
31-01-2023,administration,Ward-25,Refuse,8159263,22827953,10221761,1435203,93.7,FIN_SYS_A
31-01-2023,administration,Ward-26,Rates,7717668,15312576,21093970,1388882,60.3,FIN_SYS_B
31-01-2023,ADMINISTRATION,Ward-27,Water,5580893,4798793,9590682,2571660,76.7,FIN_SYS_B
31-01-2023,administration,Ward-28,Electricity,13305779,6649332,11585957,4909296,78.8,MANUAL_UPLOAD
31-01-2023,administration,Ward-29,Electricity,5647291,18484966,14716421,2674153,61.2,MANUAL_UPLOAD
31-01-2023,administration,Ward-30,Refuse,11306204,22662892,15021442,1497598,88.2,FIN_SYS_A
28-02-2023,WATER SERVICES,Ward-1,Water,9190135,13508783,11290453,7273361,66.8,FIN_SYS_B
28-02-2023,WATER SERVICES,Ward-2,Electricity,5503561,28122157,10097157,7520115,56.1,MANUAL_UPLOAD
28-02-2023,WATER SERVICES,Ward-3,Electricity,18422659,26452764,5479630,5202666,93.8,FIN_SYS_B
28-02-2023,WATER SERVICES,Ward-4,Water,4788153,21010754,11106012,1896753,94.1,MANUAL_UPLOAD
28-02-2023,water services,Ward-5,Rates,9700768,25309238,3415018,7650032,64.3,FIN_SYS_B
28-02-2023,water services,Ward-6,Water,25389170,13437328,20496364,5651296,83.0,FIN_SYS_B
28-02-2023,WATER SERVICES,Ward-7,Rates,19268229,13183274,17765500,364988,88.1,MANUAL_UPLOAD
28-02-2023,WATER SERVICES,Ward-8,Rates,10687395,21427481,20798406,1597542,61.9,FIN_SYS_A
28-02-2023,water services,Ward-9,Electricity,6493974,20111614,17008726,5927733,75.2,MANUAL_UPLOAD
28-02-2023,WATER SERVICES,Ward-10,Electricity,15831954,23889128,11274298,6253305,94.2,FIN_SYS_A
28-02-2023,WATER SERVICES,Ward-11,Refuse,12785985,5660126,18590613,1611729,77.2,FIN_SYS_B
28-02-2023,water services,Ward-12,Rates,22685978,13656680,12151890,6748530,52.1,FIN_SYS_A
28-02-2023,water services,Ward-13,Refuse,22984288,14714213,4655759,2215525,87.6,FIN_SYS_B
28-02-2023,WATER SERVICES,Ward-14,Electricity,13345150,13427053,18885406,3137834,69.4,FIN_SYS_B
28-02-2023,water services,Ward-15,Electricity,9930097,19636479,19821419,777852,73.8,FIN_SYS_A
28-02-2023,WATER SERVICES,Ward-16,Electricity,6367174,17623377,4133698,2067617,59.8,FIN_SYS_B
28-02-2023,water services,Ward-17,Refuse,9832707,20524564,20781784,8814625,69.7,FIN_SYS_B
28-02-2023,WATER SERVICES,Ward-18,Electricity,13891986,23829764,10509760,6143486,80.3,FIN_SYS_A
28-02-2023,WATER SERVICES,Ward-19,Water,10872143,22457218,2636446,6129438,75.5,FIN_SYS_A
28-02-2023,water services,Ward-20,Electricity,8823187,11173444,20004486,6417191,84.3,MANUAL_UPLOAD
28-02-2023,water services,Ward-21,Water,15994698,28321190,15631562,7652755,75.9,FIN_SYS_B
28-02-2023,WATER SERVICES,Ward-22,Electricity,24487691,13464735,17112412,8966963,96.5,MANUAL_UPLOAD
28-02-2023,water services,Ward-23,Refuse,5713783,6426903,17682985,4838690,64.5,MANUAL_UPLOAD
28-02-2023,water services,Ward-24,Rates,13902747,4605722,4451365,2104399,53.1,FIN_SYS_A
28-02-2023,water services,Ward-25,Electricity,7932856,22882069,4816608,8836210,85.9,MANUAL_UPLOAD
28-02-2023,WATER SERVICES,Ward-26,Refuse,24596631,26914312,12792397,3977748,55.3,FIN_SYS_A
28-02-2023,water services,Ward-27,Water,22213413,13557241,12310217,7093764,86.2,FIN_SYS_B
28-02-2023,WATER SERVICES,Ward-28,Rates,14459224,25495951,2473969,7093106,97.3,FIN_SYS_B
28-02-2023,water services,Ward-29,Rates,18230217,20645377,15347127,540438,62.6,MANUAL_UPLOAD
28-02-2023,water services,Ward-30,Electricity,14176634,20396971,21428461,2599591,60.4,MANUAL_UPLOAD
28-02-2023,ELECTRICITY,Ward-1,Rates,7896805,18333042,20766612,2258567,88.6,MANUAL_UPLOAD
28-02-2023,ELECTRICITY,Ward-2,Refuse,15105037,13291046,20992506,6759760,73.8,MANUAL_UPLOAD
28-02-2023,ELECTRICITY,Ward-3,Refuse,11425472,17343728,17825513,6001716,91.5,FIN_SYS_A
28-02-2023,ELECTRICITY,Ward-4,Electricity,6936548,17435381,10629897,614542,91.2,MANUAL_UPLOAD
28-02-2023,electricity,Ward-5,Electricity,5348032,5251942,12782730,5672938,63.0,FIN_SYS_B
28-02-2023,electricity,Ward-6,Electricity,4837694,15904316,22061022,928506,60.4,FIN_SYS_A
28-02-2023,ELECTRICITY,Ward-7,Refuse,6132864,21933388,10072169,5522217,63.6,FIN_SYS_A
28-02-2023,ELECTRICITY,Ward-8,Refuse,20538538,21400504,5794933,5869601,63.5,MANUAL_UPLOAD
28-02-2023,ELECTRICITY,Ward-9,Refuse,9656554,15950587,10166508,5462665,54.8,FIN_SYS_B
28-02-2023,electricity,Ward-10,Water,11308014,20801058,8315039,6377895,70.9,FIN_SYS_B
28-02-2023,electricity,Ward-11,Water,12467408,16042105,14590034,8408316,53.9,FIN_SYS_B
28-02-2023,ELECTRICITY,Ward-12,Refuse,13966377,28219778,17830978,8783313,91.9,MANUAL_UPLOAD
28-02-2023,electricity,Ward-13,Rates,23239135,6721264,13268700,1326668,72.6,FIN_SYS_B
28-02-2023,electricity,Ward-14,Electricity,22632637,12422186,11408880,5476774,56.3,MANUAL_UPLOAD
28-02-2023,ELECTRICITY,Ward-15,Refuse,19505741,13747865,15591575,4077826,56.6,FIN_SYS_A
28-02-2023,electricity,Ward-16,Refuse,12527961,29922161,12286135,7032170,71.6,FIN_SYS_B
28-02-2023,ELECTRICITY,Ward-17,Water,21971149,12340617,21810144,575275,64.2,MANUAL_UPLOAD
28-02-2023,electricity,Ward-18,Rates,19397759,25227210,17990404,2631158,83.1,FIN_SYS_B
28-02-2023,ELECTRICITY,Ward-19,Electricity,19314769,9453288,2461353,1360428,75.5,MANUAL_UPLOAD
28-02-2023,electricity,Ward-20,Water,17558966,29616284,6150421,8976729,95.4,FIN_SYS_A
28-02-2023,electricity,Ward-21,Water,24798269,15614362,11060901,4703814,67.4,FIN_SYS_A
28-02-2023,electricity,Ward-22,Rates,11491533,22964483,5033555,2215983,95.7,FIN_SYS_B
28-02-2023,ELECTRICITY,Ward-23,Refuse,8977255,22699351,5327150,2436794,84.6,MANUAL_UPLOAD
28-02-2023,ELECTRICITY,Ward-24,Water,6761322,10877075,4219650,3941202,63.7,MANUAL_UPLOAD
28-02-2023,electricity,Ward-25,Water,11154048,27560115,2759519,4077556,98.4,FIN_SYS_A
28-02-2023,electricity,Ward-26,Refuse,6104571,24906558,17149392,7648939,73.3,MANUAL_UPLOAD
28-02-2023,ELECTRICITY,Ward-27,Rates,10881819,26709070,7492788,7723379,57.4,FIN_SYS_A
28-02-2023,ELECTRICITY,Ward-28,Rates,7566889,6122861,7437709,1953670,65.6,MANUAL_UPLOAD
28-02-2023,ELECTRICITY,Ward-29,Refuse,14820798,11926225,12145669,6800088,79.7,FIN_SYS_B
28-02-2023,electricity,Ward-30,Electricity,18612926,10466106,10275058,1601379,50.4,FIN_SYS_A
28-02-2023,WASTE MANAGEMENT,Ward-1,Refuse,10779518,28056716,8878084,5522491,78.4,FIN_SYS_A
28-02-2023,WASTE MANAGEMENT,Ward-2,Water,19036627,24456949,14532735,6613590,56.2,FIN_SYS_A
28-02-2023,WASTE MANAGEMENT,Ward-3,Rates,6119655,29064925,11265079,3132164,74.4,FIN_SYS_B
28-02-2023,WASTE MANAGEMENT,Ward-4,Refuse,20270815,8067625,6849678,4943636,80.2,FIN_SYS_B
28-02-2023,waste management,Ward-5,Rates,12797888,21336517,11750892,7565116,76.8,FIN_SYS_B
28-02-2023,WASTE MANAGEMENT,Ward-6,Electricity,10027919,20391189,18114601,5670460,76.8,FIN_SYS_A
28-02-2023,WASTE MANAGEMENT,Ward-7,Electricity,18450777,18545026,22305744,3350768,51.6,MANUAL_UPLOAD
28-02-2023,WASTE MANAGEMENT,Ward-8,Refuse,23699251,28311585,18839572,5161667,53.1,MANUAL_UPLOAD
28-02-2023,waste management,Ward-9,Electricity,15532733,13631032,3701784,4771893,96.0,MANUAL_UPLOAD
28-02-2023,WASTE MANAGEMENT,Ward-10,Refuse,16251089,20542218,22831994,3106431,88.2,FIN_SYS_B
